Customer_ID,Age,Gender,Income_Category,Occupation,Region,Card_Type,Card_Age_Months,Credit_Limit,Account_Balance,Monthly_Income,Monthly_Spend,Yearly_Spend,Total_Purchases,Total_Transactions,Avg_Transactions_Per_Month,Offers_Redeemed,Offer_Utilization_Rate,Payment_Method,Monthly_Cash_Advance,Yearly_Cash_Advance,Revolving_Balance,Days_Since_Last_Transaction,Customer_Segment,Usage_Level,Cluster,Reward_Tier,Reward_Priority
CUST_04056,27,Other,Low,Government Employee,South,Silver,43,20901.26,5214.94,15901.08,6494.49,43794.66,77933.86,84,205.13,14,0.193,Auto Debit,130.01,1502.65,628.02,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_05593,28,Female,High,Student,East,Gold,74,27062.93,2474.57,9913.57,6490.83,61389.7,77889.91,78,205.96,21,0.36,Auto Debit,292.36,3523.1,1185.86,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_02137,28,Male,Medium,Retired,East,Gold,29,12328.25,4443.94,10971.1,6490.06,60487.26,77880.72,71,153.2,22,0.178,Credit Card Payment,18.13,216.62,3145.18,13,Heavy_Spenders,Very High,1,Platinum,3
CUST_00098,41,Male,Very High,Retired,Metro,Platinum,12,13744.17,5467.84,21380.52,6486.79,69070.57,77841.45,73,110.91,31,0.519,UPI,45.75,612.66,2637.23,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_04316,26,Female,High,Student,East,Platinum,22,38580.47,7349.19,2239.71,6483.56,74175.97,77802.7,47,186.88,12,0.492,UPI,308.54,4057.66,1799.34,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_07828,65,Female,High,Self-Employed,North,Gold,98,26413.75,5436.39,3371.15,6481.12,77841.61,77773.43,83,139.26,22,0.421,Auto Debit,263.66,3592.9,1338.4,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_04393,39,Male,Low,Business Owner,Metro,Silver,89,25432.03,5307.24,9947.14,6481.05,47504.3,77772.62,81,154.8,23,0.477,Auto Debit,11.31,125.3,2756.55,10,Heavy_Spenders,Very High,1,Platinum,3
CUST_01062,31,Female,Medium,Student,East,Gold,56,34762.68,5363.51,11925.71,6478.76,51941.79,77745.13,78,160.43,20,0.111,Wallet,123.81,1592.44,2789.57,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_03477,25,Other,High,Salaried Employee,East,Silver,8,22839.92,7208.3,8310.54,6475.11,56605.88,77701.34,44,192.87,36,0.246,Credit Card Payment,304.47,3769.79,5004.43,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_03821,47,Other,Low,Freelancer,Central,Platinum,85,18861.19,4410.65,29698.89,6471.59,36618.36,77659.12,57,111.23,22,0.689,UPI,247.74,3342.65,1687.62,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_07103,34,Female,High,Self-Employed,South,Titanium,13,20226.19,1958.35,19150.19,6469.58,51246.38,77634.93,66,119.71,12,0.587,Auto Debit,284.56,3119.73,1608.8,6,Heavy_Spenders,Very High,1,Platinum,3
CUST_01699,26,Other,High,Self-Employed,North,Silver,11,22826.74,6463.03,3754.42,6466.85,41353.61,77602.23,63,144.79,28,0.704,Wallet,156.18,1961.73,3025.08,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_06318,23,Male,Medium,Salaried Employee,South,Silver,38,28062.18,4821.04,8929.2,6465.7,64540.98,77588.43,79,101.93,19,0.64,UPI,98.58,1339.42,1007.09,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_02485,59,Other,Very High,Retired,North,Gold,13,33995.28,4360.39,28586.88,6465.33,39719.48,77583.98,55,161.14,12,0.198,Credit Card Payment,17.42,186.51,2056.71,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_02236,57,Other,High,Freelancer,Metro,Platinum,76,28599.83,4307.16,25943.98,6465.08,41712.96,77580.94,80,143.49,13,0.628,Auto Debit,298.94,3763.53,2923.27,8,Heavy_Spenders,Very High,1,Platinum,3
CUST_01891,50,Female,High,Freelancer,West,Silver,84,29199.54,5613.46,17115.57,6461.51,67997.73,77538.12,42,196.61,33,0.434,Credit Card Payment,346.41,4611.41,3044.7,17,Heavy_Spenders,Very High,1,Platinum,3
CUST_05472,55,Female,Very High,Government Employee,West,Platinum,17,33630.71,5880.12,6709.78,6458.03,62574.59,77496.38,55,158.31,24,0.7,Credit Card Payment,240.83,3255.79,1182.64,9,Heavy_Spenders,Very High,1,Platinum,3
CUST_06104,27,Other,Very High,Government Employee,Central,Platinum,26,39050.27,7314.78,18880.2,6456.35,35866.27,77476.22,57,212.63,25,0.526,Auto Debit,260.93,3019.76,1354.27,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_07075,34,Male,High,Self-Employed,East,Platinum,47,27787.53,7002.5,17927.23,6451.71,47828.14,77420.47,65,130.48,24,0.34,Credit Card Payment,7.62,87.36,4145.58,14,Heavy_Spenders,Very High,1,Platinum,3
CUST_04555,63,Female,Medium,Retired,South,Gold,107,23439.92,6135.5,10260.59,6450.08,36210.29,77400.95,63,211.49,29,0.33,Credit Card Payment,339.32,4368.5,4322.82,16,Heavy_Spenders,Very High,1,Platinum,3
CUST_00488,36,Other,Medium,Professional,West,Silver,33,37323.24,8992.07,13167.56,6448.86,72320.38,77386.29,51,127.17,39,0.359,Wallet,212.17,2564.2,1086.32,3,Heavy_Spenders,Very High,1,Platinum,3
CUST_02407,55,Other,Very High,Business Owner,Metro,Silver,30,28213.17,6344.33,14939.8,6447.96,70604.7,77375.54,52,107.4,24,0.52,Credit Card Payment,258.91,2771.41,4827.72,15,Heavy_Spenders,Very High,1,Platinum,3
CUST_04047,48,Male,Low,Government Employee,East,Titanium,42,35036.49,2057.81,16920.16,6447.59,75147.02,77371.09,67,82.58,39,0.413,Wallet,161.54,1817.85,1430.09,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_06435,48,Female,Low,Professional,West,Titanium,111,22724.83,7932.68,6239.45,6446.64,56214.26,77359.64,58,210.48,21,0.451,Credit Card Payment,259.26,2700.12,4061.86,7,Heavy_Spenders,Very High,1,Platinum,3
CUST_04217,39,Female,Medium,Professional,West,Titanium,24,29716.77,3250.14,18057.61,6445.99,70022.6,77351.87,58,171.65,21,0.088,Auto Debit,92.01,1069.22,1509.13,15,Heavy_Spenders,Very High,1,Platinum,3
